cpu,	xruns,	
68.173950195312,	0.0,	
67.76554107666,	0.0,	
67.885543823242,	0.0,	
67.806777954102,	0.0,	
67.726600646973,	0.0,	
67.655624389648,	0.0,	
67.552978515625,	0.0,	
67.638610839844,	0.0,	
68.310409545898,	0.0,	
67.66764831543,	0.0,	
67.662322998047,	0.0,	
67.502243041992,	0.0,	
67.327507019043,	0.0,	
70.493957519531,	2.0,	
70.983535766602,	0.0,	
67.495407104492,	1.0,	
68.283134460449,	0.0,	
67.699066162109,	0.0,	
67.567779541016,	0.0,	
67.476348876953,	0.0,	
67.357086181641,	0.0,	
67.299987792969,	0.0,	
67.288154602051,	0.0,	
68.14469909668,	0.0,	
69.967819213867,	0.0,	
67.434089660645,	0.0,	
67.197082519531,	0.0,	
67.270599365234,	0.0,	
67.143821716309,	0.0,	
67.268630981445,	0.0,	
67.167022705078,	0.0,	
67.032409667969,	0.0,	
67.986145019531,	0.0,	
67.392684936523,	0.0,	
67.335784912109,	0.0,	
67.967803955078,	0.0,	
68.070243835449,	0.0,	
67.496963500977,	0.0,	
67.204940795898,	0.0,	
67.121551513672,	0.0,	
67.589370727539,	0.0,	
74.854339599609,	1.0,	
77.651992797852,	1.0,	
70.907745361328,	0.0,	
67.673484802246,	0.0,	
69.801086425781,	0.0,	
73.081848144531,	1.0,	
76.942810058594,	7.0,	
68.03401184082,	1.0,	
67.201736450195,	0.0,	
67.184906005859,	0.0,	
66.96900177002,	0.0,	
66.942016601562,	0.0,	
66.919891357422,	0.0,	
66.973388671875,	0.0,	
67.050399780273,	0.0,	
67.074096679688,	0.0,	
67.095809936523,	0.0,	
67.03288269043,	0.0,	
66.898422241211,	0.0,	
66.900375366211,	0.0,	
66.811538696289,	0.0,	
66.753540039062,	0.0,	
66.919769287109,	0.0,	
67.690734863281,	0.0,	
67.229156494141,	0.0,	
67.041717529297,	0.0,	
66.876083374023,	0.0,	
66.836631774902,	0.0,	
66.873901367188,	0.0,	
66.841049194336,	0.0,	
66.804122924805,	0.0,	
66.846389770508,	0.0,	
67.029846191406,	0.0,	
66.888671875,	0.0,	
66.899154663086,	0.0,	
67.350578308105,	0.0,	
67.285095214844,	0.0,	
67.178451538086,	0.0,	
67.146369934082,	0.0,	
66.968879699707,	0.0,	
67.063903808594,	0.0,	
66.897262573242,	0.0,	
67.551956176758,	0.0,	
67.01488494873,	0.0,	
66.868041992188,	0.0,	
67.426391601562,	0.0,	
73.18824005127,	1.0,	
75.24942779541,	1.0,	
68.844482421875,	0.0,	
67.32649230957,	0.0,	
71.830101013184,	0.0,	
70.709815979004,	3.0,	
64.25414276123,	5.0,	
75.042266845703,	1.0,	
67.890228271484,	0.0,	
66.925888061523,	0.0,	
67.011642456055,	0.0,	
66.884201049805,	0.0,	
66.81420135498,	0.0,	
66.917984008789,	0.0,	
66.907508850098,	0.0,	
66.873374938965,	0.0,	
66.944129943848,	0.0,	
66.967041015625,	0.0,	
67.781036376953,	0.0,	
66.954437255859,	0.0,	
66.968322753906,	0.0,	
67.002883911133,	0.0,	
