cpu,	xruns,	
76.002616882324,	0.0,	
76.140426635742,	0.0,	
76.176406860352,	0.0,	
75.979293823242,	0.0,	
76.643890380859,	0.0,	
75.840805053711,	0.0,	
75.815032958984,	0.0,	
75.807525634766,	0.0,	
78.31502532959,	0.0,	
90.547073364258,	3.0,	
79.519805908203,	0.0,	
74.939033508301,	1.0,	
86.336624145508,	0.0,	
76.935180664062,	0.0,	
75.670913696289,	0.0,	
75.672286987305,	0.0,	
75.719345092773,	0.0,	
75.509552001953,	0.0,	
75.699012756348,	0.0,	
75.624229431152,	0.0,	
76.374450683594,	0.0,	
75.929702758789,	0.0,	
75.699951171875,	0.0,	
75.497756958008,	0.0,	
75.585006713867,	0.0,	
75.506828308105,	0.0,	
75.482986450195,	0.0,	
75.465942382812,	0.0,	
75.510696411133,	0.0,	
75.68977355957,	0.0,	
75.763732910156,	0.0,	
75.519790649414,	0.0,	
75.508056640625,	0.0,	
75.530029296875,	0.0,	
75.509338378906,	0.0,	
76.406967163086,	0.0,	
87.087440490723,	2.0,	
76.995040893555,	1.0,	
75.237655639648,	0.0,	
75.102386474609,	0.0,	
86.399230957031,	0.0,	
88.181747436523,	1.0,	
83.748710632324,	0.0,	
76.283477783203,	0.0,	
75.308135986328,	0.0,	
75.214340209961,	0.0,	
75.132286071777,	0.0,	
74.957931518555,	0.0,	
75.001770019531,	0.0,	
74.988510131836,	0.0,	
74.930572509766,	0.0,	
74.942092895508,	0.0,	
86.843383789062,	0.0,	
78.256240844727,	0.0,	
81.218643188477,	0.0,	
86.122886657715,	31.0,	
76.130142211914,	1.0,	
75.162368774414,	0.0,	
74.980438232422,	0.0,	
74.892059326172,	0.0,	
74.918518066406,	0.0,	
75.048416137695,	0.0,	
74.90055847168,	0.0,	
74.830505371094,	0.0,	
74.859252929688,	0.0,	
74.919105529785,	0.0,	
74.884391784668,	0.0,	
74.828475952148,	0.0,	
74.971527099609,	0.0,	
75.288269042969,	0.0,	
75.141525268555,	0.0,	
75.198211669922,	0.0,	
75.097457885742,	0.0,	
75.164566040039,	0.0,	
75.14013671875,	0.0,	
75.104263305664,	0.0,	
75.502998352051,	0.0,	
75.857604980469,	0.0,	
75.59716796875,	0.0,	
75.283294677734,	0.0,	
75.056510925293,	0.0,	
75.060981750488,	0.0,	
75.000587463379,	0.0,	
75.668212890625,	0.0,	
87.63744354248,	2.0,	
96.140419006348,	1.0,	
84.602890014648,	0.0,	
76.390258789062,	0.0,	
75.279281616211,	0.0,	
78.595962524414,	0.0,	
81.608062744141,	6.0,	
76.076843261719,	3.0,	
74.775924682617,	1.0,	
81.346237182617,	0.0,	
75.945663452148,	0.0,	
75.223709106445,	0.0,	
75.152221679688,	0.0,	
75.11515045166,	0.0,	
75.082382202148,	0.0,	
75.106414794922,	0.0,	
75.010955810547,	0.0,	
75.579452514648,	0.0,	
75.248260498047,	0.0,	
75.099014282227,	0.0,	
75.080368041992,	0.0,	
74.96549987793,	0.0,	
74.96989440918,	0.0,	
74.909492492676,	0.0,	
74.995719909668,	0.0,	
75.358154296875,	0.0,	
75.056488037109,	0.0,	
74.962516784668,	0.0,	
74.969528198242,	0.0,	
74.989158630371,	0.0,	
74.963478088379,	0.0,	
74.927444458008,	0.0,	
74.951072692871,	0.0,	
75.789535522461,	0.0,	
75.321403503418,	0.0,	
75.520767211914,	0.0,	
75.104949951172,	0.0,	
75.198318481445,	0.0,	
74.919296264648,	0.0,	
74.753128051758,	0.0,	
74.877716064453,	0.0,	
75.174606323242,	0.0,	
74.869445800781,	0.0,	
87.9267578125,	0.0,	
82.469650268555,	3.0,	
80.952926635742,	0.0,	
75.755844116211,	0.0,	
77.642776489258,	0.0,	
80.490234375,	1.0,	
90.443267822266,	24.0,	
81.860549926758,	9.0,	
75.761451721191,	0.0,	
75.130348205566,	0.0,	
74.93424987793,	0.0,	
