cpu,	xruns,	
25.129993438721,	0.0,	
25.060792922974,	0.0,	
25.103717803955,	0.0,	
25.066886901855,	0.0,	
25.043527603149,	0.0,	
25.659511566162,	0.0,	
25.051963806152,	0.0,	
24.989545822144,	0.0,	
24.954147338867,	0.0,	
24.945035934448,	0.0,	
25.047050476074,	0.0,	
25.003536224365,	0.0,	
25.007474899292,	0.0,	
25.326797485352,	0.0,	
25.094772338867,	0.0,	
25.065769195557,	0.0,	
25.043388366699,	0.0,	
25.017147064209,	0.0,	
24.990421295166,	0.0,	
25.137119293213,	0.0,	
25.052307128906,	0.0,	
25.313646316528,	0.0,	
25.163457870483,	0.0,	
25.129951477051,	0.0,	
25.079544067383,	0.0,	
25.157638549805,	0.0,	
25.143955230713,	0.0,	
25.142246246338,	0.0,	
25.043571472168,	0.0,	
25.457904815674,	0.0,	
25.083026885986,	0.0,	
25.036167144775,	0.0,	
25.110015869141,	0.0,	
25.091117858887,	0.0,	
27.550304412842,	0.0,	
25.471172332764,	0.0,	
25.234722137451,	0.0,	
25.392713546753,	0.0,	
25.192096710205,	0.0,	
25.090225219727,	0.0,	
25.168350219727,	0.0,	
25.103097915649,	0.0,	
25.624759674072,	0.0,	
25.094505310059,	0.0,	
25.065734863281,	0.0,	
25.488803863525,	0.0,	
25.335388183594,	0.0,	
25.283391952515,	0.0,	
25.244071960449,	0.0,	
25.046920776367,	0.0,	
25.167625427246,	0.0,	
25.117073059082,	0.0,	
25.138885498047,	0.0,	
25.394800186157,	0.0,	
25.107959747314,	0.0,	
25.078567504883,	0.0,	
25.087186813354,	0.0,	
25.10701751709,	0.0,	
25.156383514404,	0.0,	
25.303211212158,	0.0,	
25.148086547852,	0.0,	
25.283422470093,	0.0,	
25.164367675781,	0.0,	
25.008823394775,	0.0,	
25.012825012207,	0.0,	
25.041458129883,	0.0,	
25.270093917847,	0.0,	
25.092372894287,	0.0,	
25.060779571533,	0.0,	
29.446781158447,	0.0,	
29.510623931885,	0.0,	
27.338491439819,	0.0,	
27.545219421387,	0.0,	
26.206657409668,	0.0,	
25.428260803223,	0.0,	
25.271556854248,	0.0,	
25.195705413818,	0.0,	
25.115894317627,	0.0,	
27.708400726318,	0.0,	
25.725366592407,	0.0,	
25.252431869507,	0.0,	
25.099542617798,	0.0,	
25.047607421875,	0.0,	
25.372928619385,	0.0,	
25.583469390869,	0.0,	
25.41286277771,	0.0,	
25.025817871094,	0.0,	
25.080593109131,	0.0,	
25.101505279541,	0.0,	
27.199953079224,	0.0,	
29.276775360107,	0.0,	
28.38765335083,	0.0,	
27.535703659058,	0.0,	
27.368257522583,	0.0,	
25.312442779541,	0.0,	
25.088285446167,	0.0,	
24.989936828613,	0.0,	
24.926065444946,	0.0,	
25.147829055786,	0.0,	
27.59228515625,	0.0,	
26.873641967773,	0.0,	
26.108642578125,	0.0,	
28.385486602783,	0.0,	
26.944660186768,	0.0,	
26.295686721802,	0.0,	
26.09734916687,	0.0,	
25.542739868164,	0.0,	
25.088943481445,	0.0,	
25.210388183594,	0.0,	
25.867916107178,	0.0,	
25.176475524902,	0.0,	
25.146312713623,	0.0,	
24.959678649902,	0.0,	
24.889461517334,	0.0,	
27.63293838501,	0.0,	
25.644166946411,	0.0,	
25.09224319458,	0.0,	
25.48743057251,	0.0,	
25.110160827637,	0.0,	
25.067691802979,	0.0,	
25.067070007324,	0.0,	
24.991971969604,	0.0,	
25.001340866089,	0.0,	
25.016578674316,	0.0,	
25.098190307617,	0.0,	
25.291248321533,	0.0,	
27.95979309082,	0.0,	
25.405141830444,	0.0,	
25.038919448853,	0.0,	
24.983764648438,	0.0,	
24.972496032715,	0.0,	
25.041107177734,	0.0,	
24.979349136353,	0.0,	
25.070095062256,	0.0,	
25.104881286621,	0.0,	
25.146739959717,	0.0,	
25.161348342896,	0.0,	
25.111598968506,	0.0,	
28.035797119141,	0.0,	
25.283355712891,	0.0,	
24.948677062988,	0.0,	
25.150653839111,	0.0,	
24.946155548096,	0.0,	
25.12220954895,	0.0,	
25.18172454834,	0.0,	
25.151657104492,	0.0,	
25.108245849609,	0.0,	
25.161226272583,	0.0,	
25.21004486084,	0.0,	
25.052043914795,	0.0,	
27.732967376709,	0.0,	
25.536201477051,	0.0,	
25.135013580322,	0.0,	
25.0285987854,	0.0,	
25.015296936035,	0.0,	
25.168361663818,	0.0,	
25.229692459106,	0.0,	
25.448348999023,	0.0,	
25.058387756348,	0.0,	
25.084663391113,	0.0,	
25.036373138428,	0.0,	
24.950624465942,	0.0,	
27.462413787842,	0.0,	
26.529895782471,	0.0,	
27.322238922119,	0.0,	
25.517681121826,	0.0,	
25.104560852051,	0.0,	
24.968524932861,	0.0,	
24.970275878906,	0.0,	
25.026762008667,	0.0,	
25.024444580078,	0.0,	
24.935066223145,	0.0,	
25.045803070068,	0.0,	
25.280012130737,	0.0,	
27.452011108398,	0.0,	
25.299468994141,	0.0,	
25.063220977783,	0.0,	
25.038379669189,	0.0,	
25.014284133911,	0.0,	
25.065084457397,	0.0,	
25.080812454224,	0.0,	
25.021823883057,	0.0,	
25.061334609985,	0.0,	
24.986568450928,	0.0,	
25.160081863403,	0.0,	
25.177082061768,	0.0,	
27.701711654663,	0.0,	
25.321300506592,	0.0,	
25.10346031189,	0.0,	
25.648246765137,	0.0,	
25.163084030151,	0.0,	
25.027420043945,	0.0,	
25.07141494751,	0.0,	
25.076915740967,	0.0,	
25.070806503296,	0.0,	
25.006505966187,	0.0,	
25.101621627808,	0.0,	
25.005668640137,	0.0,	
27.886585235596,	0.0,	
25.26939201355,	0.0,	
25.003196716309,	0.0,	
25.040254592896,	0.0,	
24.988620758057,	0.0,	
24.94465637207,	0.0,	
24.986047744751,	0.0,	
25.220966339111,	0.0,	
24.978387832642,	0.0,	
24.952754974365,	0.0,	
24.930793762207,	0.0,	
25.012449264526,	0.0,	
27.867893218994,	0.0,	
25.412408828735,	0.0,	
25.086719512939,	0.0,	
24.938163757324,	0.0,	
25.041500091553,	0.0,	
25.054418563843,	0.0,	
25.041969299316,	0.0,	
24.988834381104,	0.0,	
24.916549682617,	0.0,	
24.954402923584,	0.0,	
25.141994476318,	0.0,	
25.254528045654,	0.0,	
27.036222457886,	0.0,	
25.350646972656,	0.0,	
25.064931869507,	0.0,	
25.141746520996,	0.0,	
25.19016456604,	0.0,	
25.335567474365,	0.0,	
25.175575256348,	0.0,	
25.16495513916,	0.0,	
25.23864364624,	0.0,	
25.163459777832,	0.0,	
25.172817230225,	0.0,	
25.056770324707,	0.0,	
27.077146530151,	0.0,	
25.233854293823,	0.0,	
25.11128616333,	0.0,	
25.124095916748,	0.0,	
25.144453048706,	0.0,	
25.10011100769,	0.0,	
25.057056427002,	0.0,	
25.018951416016,	0.0,	
25.06097984314,	0.0,	
25.056854248047,	0.0,	
25.121982574463,	0.0,	
27.48705291748,	0.0,	
25.707077026367,	0.0,	
25.170438766479,	0.0,	
25.065849304199,	0.0,	
25.024642944336,	0.0,	
25.071067810059,	0.0,	
25.123756408691,	0.0,	
25.088146209717,	0.0,	
25.326801300049,	0.0,	
25.047882080078,	0.0,	
24.989572525024,	0.0,	
25.024486541748,	0.0,	
27.213771820068,	0.0,	
25.616649627686,	0.0,	
25.098180770874,	0.0,	
24.939594268799,	0.0,	
25.041679382324,	0.0,	
25.13883972168,	0.0,	
25.061899185181,	0.0,	
25.010082244873,	0.0,	
25.03173828125,	0.0,	
25.161039352417,	0.0,	
25.327239990234,	0.0,	
25.169845581055,	0.0,	
27.485260009766,	0.0,	
25.814691543579,	0.0,	
25.155757904053,	0.0,	
25.106212615967,	0.0,	
25.250057220459,	0.0,	
25.094556808472,	0.0,	
25.061054229736,	0.0,	
25.066242218018,	0.0,	
25.174728393555,	0.0,	
25.047630310059,	0.0,	
25.017677307129,	0.0,	
25.009243011475,	0.0,	
27.999561309814,	0.0,	
25.424179077148,	0.0,	
25.111633300781,	0.0,	
25.142894744873,	0.0,	
25.349864959717,	0.0,	
25.083587646484,	0.0,	
25.130010604858,	0.0,	
25.060794830322,	0.0,	
25.061521530151,	0.0,	
25.042858123779,	0.0,	
25.068656921387,	0.0,	
24.89839553833,	0.0,	
28.159185409546,	0.0,	
25.378486633301,	0.0,	
24.998077392578,	0.0,	
24.894264221191,	0.0,	
24.900039672852,	0.0,	
24.957027435303,	0.0,	
24.917263031006,	0.0,	
24.949802398682,	0.0,	
25.292213439941,	0.0,	
25.020114898682,	0.0,	
25.004859924316,	0.0,	
25.06859588623,	0.0,	
27.856941223145,	0.0,	
25.443855285645,	0.0,	
24.992181777954,	0.0,	
25.132652282715,	0.0,	
25.708160400391,	0.0,	
25.208084106445,	0.0,	
25.145572662354,	0.0,	
25.095561981201,	0.0,	
25.033046722412,	0.0,	
25.039295196533,	0.0,	
25.152606964111,	0.0,	
25.026109695435,	0.0,	
27.983833312988,	0.0,	
25.605068206787,	0.0,	
25.021711349487,	0.0,	
24.915971755981,	0.0,	
24.935573577881,	0.0,	
24.923957824707,	0.0,	
24.90843963623,	0.0,	
24.972143173218,	0.0,	
25.453662872314,	0.0,	
25.209091186523,	0.0,	
25.145698547363,	0.0,	
25.067445755005,	0.0,	
27.603610992432,	0.0,	
25.398128509521,	0.0,	
25.089622497559,	0.0,	
24.985412597656,	0.0,	
25.244853973389,	0.0,	
24.995439529419,	0.0,	
25.034597396851,	0.0,	
25.048868179321,	0.0,	
25.036586761475,	0.0,	
25.035051345825,	0.0,	
25.081745147705,	0.0,	
25.09227180481,	0.0,	
28.005250930786,	0.0,	
25.359245300293,	0.0,	
25.047250747681,	0.0,	
24.966049194336,	0.0,	
24.923078536987,	0.0,	
24.913021087646,	0.0,	
24.96333694458,	0.0,	
25.068092346191,	0.0,	
25.734392166138,	0.0,	
25.253559112549,	0.0,	
25.184078216553,	0.0,	
25.072242736816,	0.0,	
27.899593353271,	0.0,	
25.467945098877,	0.0,	
25.126482009888,	0.0,	
25.130683898926,	0.0,	
25.435972213745,	0.0,	
25.099040985107,	0.0,	
25.024103164673,	0.0,	
25.038181304932,	0.0,	
24.988361358643,	0.0,	
24.944622039795,	0.0,	
25.037622451782,	0.0,	
25.051605224609,	0.0,	
28.103317260742,	0.0,	
25.460590362549,	0.0,	
25.11149597168,	0.0,	
25.105369567871,	0.0,	
25.071781158447,	0.0,	
25.011316299438,	0.0,	
25.064714431763,	0.0,	
25.043256759644,	0.0,	
25.340648651123,	0.0,	
25.152767181396,	0.0,	
25.101150512695,	0.0,	
25.085321426392,	0.0,	
26.921298980713,	0.0,	
25.29877281189,	0.0,	
25.138154983521,	0.0,	
25.142379760742,	0.0,	
25.376482009888,	0.0,	
25.147869110107,	0.0,	
25.053649902344,	0.0,	
24.938720703125,	0.0,	
24.94779586792,	0.0,	
24.887977600098,	0.0,	
25.02116394043,	0.0,	
25.033123016357,	0.0,	
27.716537475586,	0.0,	
25.421619415283,	0.0,	
25.162887573242,	0.0,	
25.257141113281,	0.0,	
25.156394958496,	0.0,	
25.200065612793,	0.0,	
25.163326263428,	0.0,	
25.176803588867,	0.0,	
25.108842849731,	0.0,	
25.16130065918,	0.0,	
25.238187789917,	0.0,	
27.338300704956,	0.0,	
25.627527236938,	0.0,	
25.033897399902,	0.0,	
24.96907043457,	0.0,	
25.054744720459,	0.0,	
25.149848937988,	0.0,	
25.110160827637,	0.0,	
25.044246673584,	0.0,	
25.025127410889,	0.0,	
24.977352142334,	0.0,	
24.962001800537,	0.0,	
24.96946144104,	0.0,	
27.48352432251,	0.0,	
25.851984024048,	0.0,	
25.076019287109,	0.0,	
24.997779846191,	0.0,	
24.950489044189,	0.0,	
