cpu,	xruns,	
25.577299118042,	0.0,	
25.355829238892,	0.0,	
25.351587295532,	0.0,	
25.261974334717,	0.0,	
25.63524055481,	0.0,	
25.353694915771,	0.0,	
25.538867950439,	0.0,	
25.449485778809,	0.0,	
25.588352203369,	0.0,	
25.380653381348,	0.0,	
25.279672622681,	0.0,	
25.224645614624,	0.0,	
25.203907012939,	0.0,	
25.318531036377,	0.0,	
25.168758392334,	0.0,	
25.140659332275,	0.0,	
25.545059204102,	0.0,	
25.239269256592,	0.0,	
25.261999130249,	0.0,	
25.180444717407,	0.0,	
25.390617370605,	0.0,	
25.173080444336,	0.0,	
25.094312667847,	0.0,	
25.1735496521,	0.0,	
25.394443511963,	0.0,	
25.117294311523,	0.0,	
25.129535675049,	0.0,	
25.083961486816,	0.0,	
25.04566192627,	0.0,	
25.045562744141,	0.0,	
25.073684692383,	0.0,	
25.166282653809,	0.0,	
25.538883209229,	0.0,	
25.191612243652,	0.0,	
25.166957855225,	0.0,	
25.304534912109,	0.0,	
25.377996444702,	0.0,	
25.133993148804,	0.0,	
25.014404296875,	0.0,	
25.036968231201,	0.0,	
25.166381835938,	0.0,	
25.023141860962,	0.0,	
24.995859146118,	0.0,	
24.928632736206,	0.0,	
25.007490158081,	0.0,	
24.970458984375,	0.0,	
25.036161422729,	0.0,	
24.936532974243,	0.0,	
25.407012939453,	0.0,	
24.978199005127,	0.0,	
24.887088775635,	0.0,	
24.899143218994,	0.0,	
24.952224731445,	0.0,	
24.968238830566,	0.0,	
25.017129898071,	0.0,	
24.995105743408,	0.0,	
25.339317321777,	0.0,	
25.082269668579,	0.0,	
24.968990325928,	0.0,	
24.885936737061,	0.0,	
24.945888519287,	0.0,	
24.88304901123,	0.0,	
24.954902648926,	0.0,	
24.973262786865,	0.0,	
25.186550140381,	0.0,	
24.899066925049,	0.0,	
24.956907272339,	0.0,	
25.025089263916,	0.0,	
24.935148239136,	0.0,	
24.998928070068,	0.0,	
25.011589050293,	0.0,	
24.985038757324,	0.0,	
25.141134262085,	0.0,	
24.977787017822,	0.0,	
25.027269363403,	0.0,	
25.005752563477,	0.0,	
25.237499237061,	0.0,	
25.228958129883,	0.0,	
25.148181915283,	0.0,	
25.166217803955,	0.0,	
25.370082855225,	0.0,	
25.086116790771,	0.0,	
24.970909118652,	0.0,	
