cpu,	xruns,	
25.019479751587,	0.0,	
25.079797744751,	0.0,	
24.993562698364,	0.0,	
24.973405838013,	0.0,	
25.214696884155,	0.0,	
24.902584075928,	0.0,	
24.92921257019,	0.0,	
24.932540893555,	0.0,	
24.928268432617,	0.0,	
24.913667678833,	0.0,	
24.907154083252,	0.0,	
24.868831634521,	0.0,	
24.971879959106,	0.0,	
24.951940536499,	0.0,	
24.954135894775,	0.0,	
24.907524108887,	0.0,	
24.87841796875,	0.0,	
25.00121307373,	0.0,	
25.021251678467,	0.0,	
25.009689331055,	0.0,	
25.191102981567,	0.0,	
24.974655151367,	0.0,	
24.966354370117,	0.0,	
25.148178100586,	0.0,	
25.114643096924,	0.0,	
25.077629089355,	0.0,	
25.007360458374,	0.0,	
24.951686859131,	0.0,	
25.066635131836,	0.0,	
25.001295089722,	0.0,	
24.979061126709,	0.0,	
24.990348815918,	0.0,	
24.974142074585,	0.0,	
24.919403076172,	0.0,	
24.978202819824,	0.0,	
25.182479858398,	0.0,	
25.498710632324,	0.0,	
25.270986557007,	0.0,	
25.012773513794,	0.0,	
24.989875793457,	0.0,	
24.972946166992,	0.0,	
25.003652572632,	0.0,	
25.218479156494,	0.0,	
24.959321975708,	0.0,	
25.067586898804,	0.0,	
24.992036819458,	0.0,	
24.935705184937,	0.0,	
24.853645324707,	0.0,	
24.930587768555,	0.0,	
24.829563140869,	0.0,	
24.831001281738,	0.0,	
24.859312057495,	0.0,	
25.153551101685,	0.0,	
25.021537780762,	0.0,	
25.005035400391,	0.0,	
24.979528427124,	0.0,	
25.023229598999,	0.0,	
24.939603805542,	0.0,	
24.980728149414,	0.0,	
24.990556716919,	0.0,	
25.104316711426,	0.0,	
24.987251281738,	0.0,	
25.305513381958,	0.0,	
24.998332977295,	0.0,	
24.976139068604,	0.0,	
25.04155921936,	0.0,	
24.946582794189,	0.0,	
24.934711456299,	0.0,	
25.125465393066,	0.0,	
25.088359832764,	0.0,	
25.093097686768,	0.0,	
24.962404251099,	0.0,	
25.007022857666,	0.0,	
25.120441436768,	0.0,	
24.979888916016,	0.0,	
24.96700668335,	0.0,	
25.260786056519,	0.0,	
25.124029159546,	0.0,	
25.064733505249,	0.0,	
25.090143203735,	0.0,	
25.027225494385,	0.0,	
24.907283782959,	0.0,	
24.925109863281,	0.0,	
24.889831542969,	0.0,	
