cpu,	xruns,	
22.790096282959,	0.0,	
22.742799758911,	0.0,	
22.694690704346,	0.0,	
22.698053359985,	0.0,	
22.632831573486,	0.0,	
22.615303039551,	0.0,	
22.655309677124,	0.0,	
22.843166351318,	0.0,	
22.758811950684,	0.0,	
22.724822998047,	0.0,	
22.790904998779,	0.0,	
22.817918777466,	0.0,	
22.846265792847,	0.0,	
22.867038726807,	0.0,	
22.864944458008,	0.0,	
22.977210998535,	0.0,	
22.859962463379,	0.0,	
22.854682922363,	0.0,	
22.793071746826,	0.0,	
22.77130317688,	0.0,	
22.843601226807,	0.0,	
22.810440063477,	0.0,	
22.693767547607,	0.0,	
22.918304443359,	0.0,	
22.876041412354,	0.0,	
22.87544631958,	0.0,	
22.851930618286,	0.0,	
22.76099395752,	0.0,	
22.687587738037,	0.0,	
22.645589828491,	0.0,	
22.654407501221,	0.0,	
22.861808776855,	0.0,	
22.704875946045,	0.0,	
22.689949035645,	0.0,	
22.809988021851,	0.0,	
22.848436355591,	0.0,	
22.895439147949,	0.0,	
22.718458175659,	0.0,	
22.630695343018,	0.0,	
22.882287979126,	0.0,	
22.637107849121,	0.0,	
22.564262390137,	0.0,	
22.531711578369,	0.0,	
22.437126159668,	0.0,	
22.558017730713,	0.0,	
22.573129653931,	0.0,	
22.537509918213,	0.0,	
22.589317321777,	0.0,	
22.487957000732,	0.0,	
22.447151184082,	0.0,	
22.465497970581,	0.0,	
22.402147293091,	0.0,	
22.305141448975,	0.0,	
22.316459655762,	0.0,	
22.30380821228,	0.0,	
22.503841400146,	0.0,	
22.364742279053,	0.0,	
22.305154800415,	0.0,	
22.283641815186,	0.0,	
22.356353759766,	0.0,	
22.266597747803,	0.0,	
22.278820037842,	0.0,	
22.313171386719,	0.0,	
22.514392852783,	0.0,	
22.492658615112,	0.0,	
22.428985595703,	0.0,	
22.439783096313,	0.0,	
22.506774902344,	0.0,	
22.538593292236,	0.0,	
22.458171844482,	0.0,	
22.495006561279,	0.0,	
22.588697433472,	0.0,	
22.47850227356,	0.0,	
22.506927490234,	0.0,	
22.505790710449,	0.0,	
22.468158721924,	0.0,	
22.655670166016,	0.0,	
22.786949157715,	0.0,	
22.737716674805,	0.0,	
23.130098342896,	0.0,	
22.832185745239,	0.0,	
22.785570144653,	0.0,	
22.803184509277,	0.0,	
22.73974609375,	0.0,	
22.806835174561,	0.0,	
22.763645172119,	0.0,	
22.73949432373,	0.0,	
22.919330596924,	0.0,	
22.787086486816,	0.0,	
22.733047485352,	0.0,	
22.735668182373,	0.0,	
22.741306304932,	0.0,	
22.835163116455,	0.0,	
22.687480926514,	0.0,	
22.626821517944,	0.0,	
22.83491897583,	0.0,	
22.715581893921,	0.0,	
22.728797912598,	0.0,	
22.753890991211,	0.0,	
22.733585357666,	0.0,	
22.721668243408,	0.0,	
22.738933563232,	0.0,	
22.689517974854,	0.0,	
22.80993270874,	0.0,	
22.745277404785,	0.0,	
22.727821350098,	0.0,	
22.711212158203,	0.0,	
22.737628936768,	0.0,	
22.717487335205,	0.0,	
22.719657897949,	0.0,	
22.69179725647,	0.0,	
22.974321365356,	0.0,	
22.667366027832,	0.0,	
22.511779785156,	0.0,	
22.511085510254,	0.0,	
22.539131164551,	0.0,	
22.52388381958,	0.0,	
22.615749359131,	0.0,	
22.561592102051,	0.0,	
22.840831756592,	0.0,	
22.711631774902,	0.0,	
22.606397628784,	0.0,	
22.558952331543,	0.0,	
22.488851547241,	0.0,	
22.541042327881,	0.0,	
22.519432067871,	0.0,	
22.577684402466,	0.0,	
22.800643920898,	0.0,	
22.54719543457,	0.0,	
22.515514373779,	0.0,	
22.483421325684,	0.0,	
22.47003364563,	0.0,	
22.435535430908,	0.0,	
22.412467956543,	0.0,	
22.447095870972,	0.0,	
22.535816192627,	0.0,	
22.448444366455,	0.0,	
22.512546539307,	0.0,	
22.47922706604,	0.0,	
22.474197387695,	0.0,	
22.529830932617,	0.0,	
22.405498504639,	0.0,	
22.300872802734,	0.0,	
22.616003036499,	0.0,	
22.364696502686,	0.0,	
22.342658996582,	0.0,	
22.396167755127,	0.0,	
22.365348815918,	0.0,	
22.366184234619,	0.0,	
22.333467483521,	0.0,	
22.362199783325,	0.0,	
22.539274215698,	0.0,	
22.505146026611,	0.0,	
22.510255813599,	0.0,	
22.534917831421,	0.0,	
22.499912261963,	0.0,	
22.88938331604,	0.0,	
22.548910140991,	0.0,	
22.482908248901,	0.0,	
23.210777282715,	0.0,	
22.879779815674,	0.0,	
22.777454376221,	0.0,	
22.834991455078,	0.0,	
22.8515625,	0.0,	
22.863010406494,	0.0,	
22.836309432983,	0.0,	
22.715755462646,	0.0,	
22.935119628906,	0.0,	
22.85470199585,	0.0,	
22.8258934021,	0.0,	
22.820127487183,	0.0,	
22.779373168945,	0.0,	
22.764904022217,	0.0,	
22.734962463379,	0.0,	
22.731220245361,	0.0,	
23.546579360962,	0.0,	
22.767030715942,	0.0,	
22.716472625732,	0.0,	
22.728908538818,	0.0,	
22.777349472046,	0.0,	
22.7646484375,	0.0,	
